Scenario,activity,parameter,param default,param plus 20,param minus 20,lca default,lca plus 20,lca minus 20,sensitivity ratio
1,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS","market group for electricity, low voltage",0.00116842105263158,0.0014021052631578961,0.0009347368421052641,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
72,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS","market for biomethane, 24 bar",0.028987145844515984,0.03478457501341918,0.023189716675612787,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
73,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS","market group for electricity, low voltage",0.00116842105263158,0.0014021052631578961,0.0009347368421052641,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
74,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS","industrial furnace production, natural gas",2.94736842105264e-09,3.536842105263168e-09,2.3578947368421123e-09,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
75,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS","carbon dioxide capture, chemical absorption, with transport and storage, 200 km pipeline sotage 1000m",0.05145135296479716,0.061741623557756586,0.04116108237183773,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
88,"heat production, at industrial furnace >100kW, natural gas, heating",Dinitrogen monoxide,1.05263157894737e-07,1.263157894736844e-07,8.42105263157896e-08,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
76,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS","Carbon dioxide, non-fossil",0.005716816996088571,0.0068601803953062855,0.004573453596870857,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
77,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS","Carbon monoxide, non-fossil",2.21052631578948e-06,2.652631578947376e-06,1.7684210526315842e-06,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
78,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS","Methane, non-fossil",2.8260908749698655e-06,3.3913090499638385e-06,2.2608726999758925e-06,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
45,"heat production, at industrial furnace >100kW, biomethane w/ CCS","market for biomethane, 24 bar w/ CCS",0.028987145844515984,0.03478457501341918,0.023189716675612787,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
